date,open,high,low,close,volume
2023-11-07,179.17999,182.44,178.97,181.82001,70530000
2023-11-08,182.35001,183.45,181.59,182.89,49340300
2023-11-09,182.96001,184.12,181.81,182.41,53763500
2023-11-10,183.97,186.57001,183.53,186.39999,66133400
2023-11-13,185.82001,186.03,184.21001,184.8,43627500
2023-11-14,187.7,188.11,186.3,187.44,60108400
2023-11-15,187.85001,189.5,187.78,188.00999,53790500
2023-11-16,189.57001,190.96001,188.64999,189.71001,54412900
2023-11-17,190.25,190.38,188.57001,189.69,50922700
2023-11-20,189.89,191.91,189.88,191.45,46505100
2023-11-21,191.41,191.52,189.74001,190.64,38134500
2023-11-22,191.49001,192.92999,190.83,191.31,39617700
2023-11-24,190.87,190.89999,189.25,189.97,24048300
2023-11-27,189.92,190.67,188.89999,189.78999,40552600
2023-11-28,189.78,191.08,189.39999,190.39999,38415400
2023-11-29,190.89999,192.09,188.97,189.37,43014200
2023-11-30,189.84,190.32001,188.19,189.95,48794400
2023-12-01,190.33,191.56,189.23,191.24001,45679300
2023-12-04,189.98,190.05,187.45,189.42999,43389500
2023-12-05,190.21001,194.39999,190.17999,193.42,66628400
2023-12-06,194.45,194.75999,192.11,192.32001,41089700
2023-12-07,193.63,195.0,193.59,194.27,47477700
2023-12-08,194.2,195.99001,193.67,195.71001,53377300
2023-12-11,193.11,193.49001,191.42,193.17999,60943700
2023-12-12,193.08,194.72,191.72,194.71001,52696900
2023-12-13,195.09,198.0,194.85001,197.96001,70404200
2023-12-14,198.02,199.62,196.16,198.11,66831600
2023-12-15,197.53,198.39999,197.0,197.57001,128256700
2023-12-18,196.09,196.63,194.39,195.89,55751900
2023-12-19,196.16,196.95,195.89,196.94,40714100
2023-12-20,196.89999,197.67999,194.83,194.83,52242800
2023-12-21,196.10001,197.08,193.5,194.67999,46482500
2023-12-22,195.17999,195.41,192.97,193.60001,37122800
2023-12-26,193.61,193.89,192.83,193.05,28919300
2023-12-27,192.49001,193.5,191.09,193.14999,48087700
2023-12-28,194.14,194.66,193.17,193.58,34049900
2023-12-29,193.89999,194.39999,191.73,192.53,42628800
2024-01-02,187.14999,188.44,183.89,185.64,82488700
2024-01-03,184.22,185.88,183.42999,184.25,58414500
2024-01-04,182.14999,183.09,180.88,181.91,71983600
