date,open,high,low,close,volume
2024-07-31,5.9,5.93,5.76,5.7897,4654669
2024-08-01,5.73,5.76,5.52,5.62,42822504
2024-08-02,5.75,5.81,5.5301,5.56,12062755
2024-08-05,4.41,4.93,4.4,4.75,15705670
2024-08-06,4.9,5.07,4.83,5.05,8450718
2024-08-07,5.09,5.1099,4.85,4.86,6339571
2024-08-08,5.13,5.315,5.0401,5.27,4888823
2024-08-09,5.37,5.425,5.288,5.38,6640281
2024-08-12,5.29,5.385,5.13,5.24,3755995
2024-08-13,5.23,5.465,5.22,5.41,5349902
2024-08-14,5.39,5.4099,5.2061,5.22,4994680
2024-08-15,5.25,5.31,5.03,5.07,6240401
2024-08-16,5.2,5.32,5.1198,5.29,4314862
2024-08-19,5.22,5.2601,5.15,5.24,3103362
2024-08-20,5.37,5.41,5.195,5.28,4235703
2024-08-21,5.27,5.47,5.2237,5.47,7710726
2024-08-22,5.4,5.4059,5.33,5.34,5291001
2024-08-23,5.43,5.6699,5.395,5.65,12388163
2024-08-26,5.67,5.67,5.59,5.61,6209049
2024-08-27,5.53,5.5495,5.45,5.51,6943145
2024-08-28,5.32,5.325,5.13,5.23,12701042
2024-08-29,5.34,5.4284,5.224,5.25,7080446
2024-08-30,5.28,5.3056,5.12,5.2,8276992
2024-09-03,5.24,5.25,5.1,5.15,5396131
2024-09-04,5.01,5.19,4.9737,5.15,6027070
2024-09-05,5.02,5.08,4.94,4.97,10241738
2024-09-06,5.02,5.04,4.72,4.75,10021411
2024-09-09,4.91,5.075,4.855,5.07,7264231
2024-09-10,5.05,5.15,5.01,5.14,6135963
2024-09-11,5.05,5.1499,4.9221,5.11,7519723
2024-09-12,5.11,5.195,5.08,5.17,5012572
2024-09-13,5.12,5.33,5.11,5.3,7051997
2024-09-16,5.2,5.2,5.1,5.14,6050402
2024-09-17,5.25,5.445,5.22,5.32,6191836
2024-09-18,5.32,5.4477,5.245,5.33,6795536
2024-09-19,5.61,5.67,5.56,5.61,6630816
2024-09-20,5.59,5.6379,5.5301,5.58,10696974
2024-09-23,5.61,5.66,5.5915,5.61,5207646
2024-09-24,5.62,5.71,5.56,5.71,5744941
2024-09-25,5.63,5.68,5.58,5.6,4241196
2024-09-26,5.71,5.845,5.69,5.74,7510525
2024-09-27,5.82,5.91,5.8,5.82,5665004
2024-09-30,5.68,5.69,5.58,5.63,5920543
2024-10-01,5.62,5.63,5.41,5.48,7668484
2024-10-02,5.4,5.53,5.32,5.34,8690922
2024-10-03,5.36,5.42,5.31,5.41,4979537
2024-10-04,5.46,5.55,5.39,5.54,4912196
2024-10-07,5.6,5.72,5.5649,5.62,5076272
2024-10-08,5.56,5.61,5.4801,5.52,5994453
2024-10-09,5.49,5.53,5.385,5.4,5868876
2024-10-10,5.41,5.41,5.22,5.29,6222411
2024-10-11,5.45,5.63,5.44,5.61,6388873
2024-10-14,5.75,5.89,5.7301,5.85,10128804
2024-10-15,5.85,6.0363,5.75,5.94,12672959
2024-10-16,6.02,6.0699,5.955,6.01,8191023
2024-10-17,5.95,6.0078,5.91,5.92,8568232
2024-10-18,6.01,6.13,6.0051,6.08,6915882
2024-10-21,6.02,6.03,5.92,6.01,9505073
2024-10-22,5.95,6.0,5.9,5.98,6063050
2024-10-23,5.9,5.93,5.774,5.88,5817917
2024-10-24,6.0,6.06,5.964,6.06,5771049
2024-10-25,6.03,6.1095,5.84,5.92,12811692
